,0
0,Hawaii
1,Delaware
2,North Carolina
3,Oklahoma
4,Nevada
5,New Jersey
6,Colorado
7,California
8,Nebraska
9,Ohio
10,Oregon
11,Iowa
12,Kentucky
13,New Hampshire
14,Indiana
15,Connecticut
16,Michigan
17,Kansas
18,New York
19,North Dakota
20,Vermont
21,Idaho
22,New Mexico
23,Massachusetts
24,Florida
25,Arkansas
26,Rhode Island
27,Texas
28,Tennessee
29,Mississippi
30,Pennsylvania
31,Utah
32,Maine
33,South Carolina
34,Virginia
35,Montana
36,Louisiana
37,Georgia
38,Wyoming
39,Maryland
40,South Dakota
41,Washington
42,Wisconsin
43,Missouri
44,Minnesota
45,Illinois
46,West Virginia
